uid,recording_id,window,arm,t0_s,dur_s,n_channels,ridge_clearance_db,ridge_clearance_mismatch_db,ridge_margin_half_db,ridge_margin_double_db,fvk_blind,fvk_well_p03,fvk_ratio_double,fvk_ratio_half,fvk_alias_ratio_half,seed_octave,coarse_halved,coarse_mode,spread_rev_s,pr_margin_half_min_db,pr_margin_half_max_db,pr_n_doubled,verdict,ref_mae_rev_s,wall_ladder_s,rps_mean_str,rps_std_max
AGH__ego-noise__single_rotors__0__w000,AGH__ego-noise__single_rotors__0,0,seedvk,0.0,17.59,1,2.842,0.6,1.614,-1.46,0.2976440242910216,1.112,1.02,0.911,1.178,False,,,0.0,,,,halved_or_ramp,,9.4,79.7,0.1124
AGH__ego-noise__single_rotors__1__w000,AGH__ego-noise__single_rotors__1,0,seedvk,0.0,16.356,1,3.37,-0.018,1.814,-1.45,0.2411792415355039,1.15,1.021,0.908,1.15,False,,,0.0,,,,halved_or_ramp,,6.0,66.3,0.0455
AGH__ego-noise__single_rotors__2__w000,AGH__ego-noise__single_rotors__2,0,seedvk,0.0,16.966,1,5.195,0.679,1.246,3.34,0.2270822334539802,1.147,4.397,0.977,1.61,False,,,0.0,,,,accept,,9.2,113.8,0.0714
AGH__ego-noise__single_rotors__3__w000,AGH__ego-noise__single_rotors__3,0,seedvk,0.0,16.966,1,4.143,0.175,1.272,2.162,0.20253140528492458,1.178,4.933,0.949,1.472,False,,,0.0,,,,accept,,9.2,97.4,0.0885
AGH__ego-noise__single_rotors__4__w000,AGH__ego-noise__single_rotors__4,0,seedvk,0.0,17.575,1,2.911,0.106,1.312,1.61,0.17939360011413621,1.204,5.567,0.968,1.428,False,,,0.0,,,,accept,,9.4,77.7,0.0911
AGH__ego-noise__single_rotors__5__w000,AGH__ego-noise__single_rotors__5,0,seedvk,0.0,16.356,1,5.874,0.013,0.549,1.657,0.1580457646413053,1.242,6.252,0.962,2.022,False,,,0.0,,,,accept,,6.0,97.8,0.0822
AGH__ego-noise__single_rotors__6__w000,AGH__ego-noise__single_rotors__6,0,seedvk,0.0,17.59,1,4.757,0.132,0.646,1.994,0.3928015292099552,1.065,2.535,0.966,1.528,False,,,0.0,,,,accept,,9.3,96.6,0.0672
AGH__ego-noise__single_rotors__7__w000,AGH__ego-noise__single_rotors__7,0,seedvk,0.0,16.966,1,3.552,0.247,0.517,0.718,0.23092847091781973,1.137,4.318,0.973,1.372,False,,,0.0,,,,accept,,9.3,96.8,0.0847
