#,Model,NaN?,PIT MSE,RMSE,MAE/f,MAE/c,R2,Best epoch
1,scv2_uni_gru,no,8.5433,2.92,2.17,1.72,0.8018,69
2,scv2_uni_gru96_norm_do02,no,8.8912,2.98,2.28,1.82,0.7822,16
3,scv2_uni_gru128,no,9.1313,3.02,2.33,1.87,0.7674,25
4,scv2_uni_gru96_norm_do03,yes,9.1714,3.03,2.32,1.80,0.7668,20
5,scv2_uni_gru128_norm_do03,yes,11.4313,3.38,2.46,1.98,0.7532,20
6,scv2_uni_gru64_norm_do03,yes,17.0005,4.12,2.68,2.24,0.7084,15
7,scv2_uni_gru128_norm,yes,36.1067,6.01,3.41,2.84,-0.2631,9
