model,key,rmse,mae_frame,mae_clip,r2,r2_median,eval_seconds
SimpleConvV2 (8ch),simple_conv_v2,1.6234307977698978,1.0790741443634033,0.5695682764053345,0.9299665093421936,0.9547947645187378,
SimpleConv (8ch),simple_conv,3.547737673180912,2.712296485900879,2.482361316680908,0.6758115887641907,0.6898297667503357,
multif0_salience,multif0_salience,6.299170513142649,3.401189088821411,2.9855611324310303,0.18775193393230438,0.3304605484008789,459.2
multif0_salience_fastest,multif0_salience_fastest,6.424047820588233,3.583653450012207,3.2788522243499756,0.10581626743078232,0.35771292448043823,442.1
basic_pitch_salience,basic_pitch,23.24081228424494,16.18781280517578,15.901480674743652,-16.213300704956055,-10.284994125366211,18.3
multif0_salience_narrow_sr,multif0_salience_narrow_sr,4.027059201271677,2.3364107608795166,1.8822855949401855,0.5730260014533997,0.5281435251235962,202.2
basic_pitch_narrow_sr,basic_pitch_narrow_sr,11.661972438468501,6.104471683502197,4.835236549377441,-3.2405314445495605,-0.9648408889770508,21.5
