recording_id,arm,n_windows,ridge_clearance_db,ridge_margin_half_db,fvk_well_p03,fvk_ratio_double,fvk_ratio_half,n_accept,n_doubled,pr_margin_half_min_db,within_window_std_rev_s,rate_spread_across_windows,mean_rate_rev_s,ref_mae_rev_s,wall_ladder_s
0Nm_BPFI_03,seedvk,4,-0.156,0.443,0.904,1.11,1.096,4,0,,0.003,0.0,100.62,,5.125
0Nm_BPFI_10,seedvk,4,11.175,4.552,0.98,0.908,1.075,0,0,,0.007,0.001,50.3,,5.1
0Nm_BPFO_03,seedvk,4,4.886,1.363,0.99,1.07,1.25,3,0,,0.006,0.003,91.33,,4.925
0Nm_BPFO_10,seedvk,4,5.659,0.56,2.018,1.022,7.342,0,0,,0.004,0.001,91.7,,4.975
0Nm_Normal,seedvk,4,0.036,-0.996,0.987,1.031,0.903,1,1,,0.031,8.344,104.7,,4.825
