category,input_snr,method,n,si_sdr,sdr,pesq,estoi
all,-30.0,f1_tfgridnet_a,25,-13.9484,-8.0220,1.0827,0.0971
all,-25.0,f1_tfgridnet_a,25,-14.0294,-6.2103,1.1042,0.1443
all,-20.0,f1_tfgridnet_a,25,-8.0936,-4.8245,1.0978,0.1966
all,-15.0,f1_tfgridnet_a,25,0.3768,-5.2926,1.3144,0.4364
all,-10.0,f1_tfgridnet_a,25,3.6629,-5.6211,1.4648,0.5333
all,-5.0,f1_tfgridnet_a,25,6.5384,-5.8199,1.4370,0.6034
all,0.0,f1_tfgridnet_a,25,9.7257,-5.9311,1.6111,0.6866
