category,input_snr,method,n,si_sdr,sdr,pesq,estoi
all,-30.0,f1_tfgridnet_b,50,-16.295,-6.2973,1.1146,0.1255
all,-25.0,f1_tfgridnet_b,49,-12.8815,-3.8993,1.0834,0.1527
all,-20.0,f1_tfgridnet_b,50,-9.7867,-4.5688,1.0912,0.2431
all,-15.0,f1_tfgridnet_b,49,-2.645,-4.8045,1.2485,0.4028
all,-10.0,f1_tfgridnet_b,50,2.5352,-4.868,1.4061,0.4662
all,-5.0,f1_tfgridnet_b,50,6.2317,-5.7084,1.4673,0.6159
all,0.0,f1_tfgridnet_b,47,9.5975,-5.7809,1.7535,0.704
