category,input_snr,method,n,si_sdr,sdr,pesq,estoi
all,-30.0,f1_edge_bs_rof_a,50,-10.8207,-1.7272,1.0804,0.1176
all,-25.0,f1_edge_bs_rof_a,49,-9.1356,-0.468,1.0837,0.1507
all,-20.0,f1_edge_bs_rof_a,50,-6.0352,0.6698,1.1201,0.1981
all,-15.0,f1_edge_bs_rof_a,49,-1.3778,2.7528,1.201,0.344
all,-10.0,f1_edge_bs_rof_a,50,1.7455,3.7223,1.2476,0.3881
all,-5.0,f1_edge_bs_rof_a,50,4.7686,6.0588,1.3435,0.5447
all,0.0,f1_edge_bs_rof_a,47,6.3435,7.1943,1.4899,0.6019
