category,input_snr,method,n,si_sdr,sdr,pesq,estoi
all,-30.0,f1_dcunet_a,50,-19.9005,-3.8574,1.1097,0.0394
all,-25.0,f1_dcunet_a,49,-16.8819,-1.8967,1.0895,0.0435
all,-20.0,f1_dcunet_a,50,-14.0489,-1.3021,1.0907,0.0893
all,-15.0,f1_dcunet_a,49,-10.3577,-0.7449,1.1403,0.1998
all,-10.0,f1_dcunet_a,50,-7.4506,-0.5448,1.143,0.2196
all,-5.0,f1_dcunet_a,50,-4.9369,-0.5703,1.1563,0.3619
all,0.0,f1_dcunet_a,47,-2.1681,-0.5232,1.2435,0.4096
