category,input_snr,method,n,si_sdr,sdr,pesq,estoi
all,-30.0,f1_edge_bs_rof_b,25,-13.4144,-4.3901,1.1019,0.0955
all,-25.0,f1_edge_bs_rof_b,25,-13.4060,-3.2873,1.0599,0.1141
all,-20.0,f1_edge_bs_rof_b,25,-12.4261,-2.4656,1.0642,0.1508
all,-15.0,f1_edge_bs_rof_b,25,-6.4425,-0.8895,1.1027,0.3341
all,-10.0,f1_edge_bs_rof_b,25,-0.3173,2.3679,1.1329,0.3886
all,-5.0,f1_edge_bs_rof_b,25,1.5538,3.0840,1.1657,0.4658
all,0.0,f1_edge_bs_rof_b,25,4.9454,4.2614,1.2053,0.5470
