sweep,error,confidence,success
basin,0.010116172660091871,0.17372726649045944,1
basin,0.010116172660091986,0.17372726649045944,1
basin,0.010116172660091731,0.17372726649045944,1
basin,0.010116172660091688,0.17372726649045944,1
basin,0.01011617266009241,0.17372726649045944,1
basin,0.010116172660092694,0.17372726649045944,1
basin,0.01024733178009902,0.1737225279211998,1
basin,1.9528105981695303,0.06597422808408737,0
basin,3.1715645025651464,0.06307080760598183,0
basin,4.124373677794897,0.03536699712276459,0
basin,7.692106670087467,0.02432970702648163,0
basin,0.010116172660091632,0.17372726649045944,1
basin,0.010116172660091688,0.17372726649045944,1
basin,0.010116172660091448,0.17372726649045944,1
basin,0.010116172660091688,0.17372726649045944,1
basin,0.010116172660092211,0.17372726649045944,1
basin,0.010116172660092241,0.17372726649045944,1
basin,0.010247331780099036,0.1737225279211998,1
basin,1.2089485216131919,0.03292803466320038,0
basin,3.8596909347432256,0.024649664759635925,0
basin,5.404383544223325,0.02225595712661743,0
basin,9.970917396279825,0.015785131603479385,0
basin,0.01011617266008999,0.17372726649045944,1
basin,0.01011617266009023,0.17372726649045944,1
basin,0.010116172660090995,0.17372726649045944,1
basin,0.010116172660091079,0.17372726649045944,1
basin,0.010116172660091122,0.17372726649045944,1
basin,0.010116172660091079,0.17372726649045944,1
basin,0.010116172660091306,0.17372726649045944,1
basin,0.010116172660091759,0.17372726649045944,1
basin,0.01011617266009251,0.17372726649045944,1
basin,0.01024733178009902,0.1737225279211998,1
basin,4.1789882820767685,0.06437436863780022,0
basin,0.010116172660090187,0.17372726649045944,1
basin,0.010116172660090315,0.17372726649045944,1
basin,0.01011617266009081,0.17372726649045944,1
basin,0.010116172660090683,0.17372726649045944,1
basin,0.010116172660090952,0.17372726649045944,1
basin,0.010116172660091193,0.17372726649045944,1
basin,0.010116172660091221,0.17372726649045944,1
basin,0.010116172660091348,0.17372726649045944,1
basin,0.010116172660091901,0.17372726649045944,1
basin,0.010247331780099445,0.1737225279211998,1
basin,6.682592246525074,0.027528129518032074,0
basin,0.20864957500764542,0.1700403280556202,0
basin,0.20864957500764517,0.1700403280556202,0
basin,0.20864957500764508,0.1700403280556202,0
basin,0.20864957500764464,0.1700403280556202,0
basin,0.20864957500764364,0.1700403280556202,0
basin,0.03887472935520439,0.169684786349535,1
basin,0.03892884082254148,0.1696915589272976,1
basin,1.3199842004974538,0.07023836299777031,0
basin,3.4058486859235075,0.04607859253883362,0
basin,5.081619348975267,0.04536818712949753,0
basin,7.218100702181186,0.02367742732167244,0
basin,0.20864957500764567,0.1700403280556202,0
basin,0.20864957500764555,0.1700403280556202,0
basin,0.20864957500764633,0.1700403280556202,0
basin,0.20864957500764644,0.1700403280556202,0
basin,0.20864957500764625,0.1700403280556202,0
basin,0.18137782018331466,0.1707390695810318,0
basin,0.18439379680025159,0.169046763330698,0
basin,0.9534020220582982,0.06814566627144814,0
basin,4.063809225608764,0.02017528936266899,0
basin,7.0393547307105555,0.017999079078435898,0
basin,9.105187727745854,0.010973915457725525,0
basin,0.2086495750076488,0.1700403280556202,0
basin,0.2086495750076486,0.1700403280556202,0
basin,0.20864957500764755,0.1700403280556202,0
basin,0.20864957500764708,0.1700403280556202,0
basin,0.20864957500764708,0.1700403280556202,0
basin,0.20864957500764592,0.1700403280556202,0
basin,0.20864957500764528,0.1700403280556202,0
basin,0.20864957500764506,0.1700403280556202,0
basin,0.2086495750076436,0.1700403280556202,0
basin,0.03892884082254145,0.1696915589272976,1
basin,4.272700860168316,0.046251509338617325,0
basin,0.20864957500764894,0.1700403280556202,0
basin,0.20864957500764886,0.1700403280556202,0
basin,0.20864957500764886,0.1700403280556202,0
basin,0.2086495750076486,0.1700403280556202,0
basin,0.20864957500764966,0.1700403280556202,0
basin,0.20864957500764958,0.1700403280556202,0
basin,0.20864957500764925,0.1700403280556202,0
basin,0.20864957500765038,0.1700403280556202,0
basin,0.20864957500765008,0.1700403280556202,0
basin,0.18439379680025772,0.169046763330698,0
basin,6.941638721375733,0.023394688963890076,0
basin,0.01254603474446517,0.1781361885368824,1
basin,0.012546034744465154,0.1781361885368824,1
basin,0.012546034744464885,0.1781361885368824,1
basin,0.012546034744464475,0.1781361885368824,1
basin,0.012546034744464037,0.1781361885368824,1
basin,0.012546034744463768,0.1781361885368824,1
basin,0.012722657795053573,0.17828449606895447,1
basin,1.981947848751973,0.07439709082245827,0
basin,2.7823980490677225,0.07590357959270477,0
basin,4.35191513385173,0.03374224156141281,0
basin,7.193447806850299,0.020665206015110016,0
basin,0.012546034744465126,0.1781361885368824,1
basin,0.012546034744465197,0.1781361885368824,1
basin,0.012546034744465211,0.1781361885368824,1
basin,0.012546034744464278,0.1781361885368824,1
basin,0.012546034744464163,0.1781361885368824,1
basin,0.012546034744464248,0.1781361885368824,1
basin,0.012722657795053998,0.17828449606895447,1
basin,1.7836210411350102,0.04530289024114609,0
basin,3.4582144190677093,0.030705217272043228,0
basin,5.082776395965979,0.01963844895362854,0
basin,8.99414801209234,0.009497661143541336,0
basin,0.012546034744466484,0.1781361885368824,1
basin,0.012546034744466314,0.1781361885368824,1
basin,0.012546034744465919,0.1781361885368824,1
basin,0.012546034744465636,0.1781361885368824,1
basin,0.01254603474446647,0.1781361885368824,1
basin,0.012546034744466259,0.1781361885368824,1
basin,0.012546034744466089,0.1781361885368824,1
basin,0.012546034744464857,0.1781361885368824,1
basin,0.012546034744463965,0.1781361885368824,1
basin,0.012722657795053573,0.17828449606895447,1
basin,3.2986530470344095,0.07606111094355583,0
basin,0.012546034744466668,0.1781361885368824,1
basin,0.012546034744466613,0.1781361885368824,1
basin,0.012546034744466443,0.1781361885368824,1
basin,0.012546034744466273,0.1781361885368824,1
basin,0.012546034744466555,0.1781361885368824,1
basin,0.012546034744465763,0.1781361885368824,1
basin,0.012546034744465749,0.1781361885368824,1
basin,0.012546034744465112,0.1781361885368824,1
basin,0.012546034744464815,0.1781361885368824,1
basin,0.012722657795054423,0.17828449606895447,1
basin,6.110379757938253,0.03155425935983658,0
robust,0.008932159005854477,0.28626104816794395,1
robust,0.2088978674824249,0.2836824581027031,0
robust,0.010757160665483543,0.29756597615778446,1
robust,0.010116172660091731,0.17372726649045944,1
robust,0.20864957500764508,0.1700403280556202,0
robust,0.012546034744464885,0.1781361885368824,1
robust,0.012838994260812095,0.11721209436655045,1
robust,0.21176228368646227,0.11002160981297493,0
robust,0.016037818618515512,0.1195109523832798,1
robust,0.016533772078960274,0.07254363968968391,1
robust,0.21431289656132232,0.07121352106332779,0
robust,0.02194570240947533,0.07451188936829567,1
robust,0.09412879727453846,0.040739189833402634,1
robust,0.2185214428228119,0.040517475455999374,0
robust,0.15689532978582985,0.04040500521659851,0
robust,0.30209616918184173,0.023973330855369568,0
robust,0.2665652272877221,0.021505586802959442,0
robust,0.3396705146573892,0.024892672896385193,0
robust,0.6336208994414637,0.015546754002571106,0
robust,0.5721379339677296,0.010506510734558105,0
robust,0.6812544935521259,0.014887884259223938,0
robust,0.009455019791430477,0.3108150567859411,1
robust,0.20916257350908515,0.3114805053919554,0
robust,0.011594869488550333,0.334352133795619,1
robust,0.009666465641994368,0.20451797358691692,1
robust,0.2093852005497395,0.20501082763075829,0
robust,0.010222805146734435,0.22081989981234074,1
robust,0.009842300719856116,0.14253323525190353,1
robust,0.2098919037446046,0.13560199737548828,0
robust,0.014451773990932545,0.15402057766914368,1
robust,0.012953636790935662,0.08498347923159599,1
robust,0.21183927167089475,0.08096014708280563,0
robust,0.015923535575290696,0.09177753701806068,1
robust,0.09315424440683824,0.04269561171531677,1
robust,0.21516067018779547,0.043024059385061264,0
robust,0.15084556322185333,0.044530171900987625,0
robust,0.13111367229603296,0.0208333320915699,1
robust,0.3030416089232034,0.018098920583724976,0
robust,0.32436511789178607,0.021798014640808105,0
robust,0.9429247707375142,0.008946262300014496,0
robust,0.7729375224157096,0.007676213979721069,0
robust,0.7534162265404211,0.010922849178314209,0
robust,0.008579180760991597,0.22902785846963525,1
robust,0.18819713576888272,0.21506013674661517,0
robust,0.011338272172954385,0.2427358846180141,1
robust,0.010605019511039121,0.11689713830128312,1
robust,0.21215511908533286,0.10204745177179575,0
robust,0.014996592553308563,0.11753570009022951,1
robust,0.08874998986701424,0.06953682750463486,1
robust,0.21493986438079266,0.06239753309637308,0
robust,0.021551988472942585,0.07189574930816889,1
robust,0.17028486100350593,0.04376055486500263,0
robust,0.22029991996102433,0.03367323987185955,0
robust,0.09572592573565193,0.04337110184133053,1
