duration_s,channels,stage,cpu_seconds,wall_seconds,cpu_sec_per_audio_sec
10.0,1,compute_logmag,0.02140850900000002,0.021520327019970864,0.002140850900000002
10.0,1,coarse_delta,0.09822190999999991,0.09890378400450572,0.00982219099999999
10.0,1,refine_trajectories@300,3.775041545,4.1753879499738105,0.3775041545
10.0,1,harmonic_lsq_residual@k40,15.658428031,15.781278270995244,1.5658428031
10.0,8,compute_logmag,0.5101011990000011,0.5123895719880238,0.05101011990000011
10.0,8,coarse_delta,1.1595506189999973,1.1652607819996774,0.11595506189999974
10.0,8,refine_trajectories@300,14.442346785000002,14.520761570020113,1.4442346785000002
10.0,8,harmonic_lsq_residual@k40,16.176632724999997,354.3681217980338,1.6176632724999997
30.0,1,compute_logmag,0.14052050600000143,0.2986871770117432,0.004684016866666714
30.0,1,coarse_delta,0.35668217700000326,0.40544902900001034,0.01188940590000011
30.0,1,refine_trajectories@300,6.174835801999997,148.23786837002262,0.20582786006666656
30.0,1,harmonic_lsq_residual@k40,53.21939098,1598.0671627569827,1.7739796993333334
30.0,8,compute_logmag,1.1083000809999959,1.1185679779737256,0.0369433360333332
30.0,8,coarse_delta,1.8689168669999958,1.9655643699807115,0.06229722889999986
30.0,8,refine_trajectories@300,41.14664418199999,41.97831162303919,1.3715548060666662
30.0,8,harmonic_lsq_residual@k40,49.08392258500001,49.60001369501697,1.6361307528333338
60.0,1,compute_logmag,0.34314071399998625,0.34566908300621435,0.00571901189999977
60.0,1,coarse_delta,0.9079513929999905,0.9316138370195404,0.015132523216666508
60.0,1,refine_trajectories@300,18.278598190999986,18.84028166596545,0.3046433031833331
60.0,1,harmonic_lsq_residual@k40,107.23931381099999,665.0189241009648,1.7873218968499998
60.0,8,compute_logmag,2.4610910890000355,2.476239247014746,0.04101818481666726
60.0,8,coarse_delta,5.397305165000034,5.469351473962888,0.0899550860833339
60.0,8,refine_trajectories@300,62.45514337599997,63.055953455972485,1.0409190562666661
60.0,8,harmonic_lsq_residual@k40,59.30873651500002,60.61313843599055,0.988478941916667
