config,sign_mode,offset,success_rate,mean_error
default_dmax3,same,0.25,0.6666666666666666,0.07710392747073415
default_dmax3,same,0.5,0.6666666666666666,0.0771039274707341
default_dmax3,same,1.0,0.6666666666666666,0.0771039274707339
default_dmax3,same,1.5,0.6666666666666666,0.0771039274707336
default_dmax3,same,2.0,0.6666666666666666,0.07710392747073336
default_dmax3,same,2.5,1.0,0.020512312253253617
default_dmax3,same,3.0,1.0,0.020632943465898026
default_dmax3,same,4.0,0.0,1.751580882472986
default_dmax3,same,5.0,0.0,3.119937079185459
default_dmax3,same,6.0,0.0,4.519302720207298
default_dmax3,same,8.0,0.0,7.3678850597063175
default_dmax3,opposite,0.25,0.6666666666666666,0.07710392747073413
default_dmax3,opposite,0.5,0.6666666666666666,0.07710392747073415
default_dmax3,opposite,1.0,0.6666666666666666,0.07710392747073434
default_dmax3,opposite,1.5,0.6666666666666666,0.07710392747073413
default_dmax3,opposite,2.0,0.6666666666666666,0.0771039274707342
default_dmax3,opposite,2.5,0.6666666666666666,0.06801334252929038
default_dmax3,opposite,3.0,0.6666666666666666,0.06912126212513488
default_dmax3,opposite,4.0,0.0,1.3153238616021667
default_dmax3,opposite,5.0,0.0,3.7939048598065663
default_dmax3,opposite,6.0,0.0,5.84217155696662
default_dmax3,opposite,8.0,0.0,9.356751045372674
dmax6,same,0.25,0.6666666666666666,0.07710392747073509
dmax6,same,0.5,0.6666666666666666,0.07710392747073505
dmax6,same,1.0,0.6666666666666666,0.07710392747073481
dmax6,same,1.5,0.6666666666666666,0.07710392747073459
dmax6,same,2.0,0.6666666666666666,0.0771039274707349
dmax6,same,2.5,0.6666666666666666,0.07710392747073441
dmax6,same,3.0,0.6666666666666666,0.07710392747073422
dmax6,same,4.0,0.6666666666666666,0.0771039274707339
dmax6,same,5.0,0.6666666666666666,0.07710392747073337
dmax6,same,6.0,1.0,0.020632943465898015
dmax6,same,8.0,0.0,3.916780729759831
dmax6,opposite,0.25,0.6666666666666666,0.07710392747073526
dmax6,opposite,0.5,0.6666666666666666,0.07710392747073526
dmax6,opposite,1.0,0.6666666666666666,0.07710392747073537
dmax6,opposite,1.5,0.6666666666666666,0.07710392747073519
dmax6,opposite,2.0,0.6666666666666666,0.07710392747073573
dmax6,opposite,2.5,0.6666666666666666,0.07710392747073551
dmax6,opposite,3.0,0.6666666666666666,0.0771039274707354
dmax6,opposite,4.0,0.6666666666666666,0.07710392747073562
dmax6,opposite,5.0,0.6666666666666666,0.07710392747073559
dmax6,opposite,6.0,0.6666666666666666,0.0691212621251372
dmax6,opposite,8.0,0.0,6.578203575279687
